Statistik_Code,Statistik_Label,Zeit_Code,Zeit_Label,Zeit,1_Merkmal_Code,1_Merkmal_Label,1_Auspraegung_Code,1_Auspraegung_Label,BEVSTD__Bevoelkerungsstand__Anzahl
12411,Fortschreibung des Bevölkerungsstandes,STAG,Stichtag,31.12.2019,DLAND,Bundesländer,08,Baden-Württemberg,11100394
12411,Fortschreibung des Bevölkerungsstandes,STAG,Stichtag,31.12.2019,DLAND,Bundesländer,09,Bayern,13124737
12411,Fortschreibung des Bevölkerungsstandes,STAG,Stichtag,31.12.2019,DLAND,Bundesländer,11,Berlin,3669491
12411,Fortschreibung des Bevölkerungsstandes,STAG,Stichtag,31.12.2019,DLAND,Bundesländer,12,Brandenburg,2521893
12411,Fortschreibung des Bevölkerungsstandes,STAG,Stichtag,31.12.2019,DLAND,Bundesländer,04,Bremen,681202
12411,Fortschreibung des Bevölkerungsstandes,STAG,Stichtag,31.12.2019,DLAND,Bundesländer,02,Hamburg,1847253
12411,Fortschreibung des Bevölkerungsstandes,STAG,Stichtag,31.12.2019,DLAND,Bundesländer,06,Hessen,6288080
12411,Fortschreibung des Bevölkerungsstandes,STAG,Stichtag,31.12.2019,DLAND,Bundesländer,13,Mecklenburg-Vorpommern,1608138
12411,Fortschreibung des Bevölkerungsstandes,STAG,Stichtag,31.12.2019,DLAND,Bundesländer,03,Niedersachsen,7993608
12411,Fortschreibung des Bevölkerungsstandes,STAG,Stichtag,31.12.2019,DLAND,Bundesländer,05,Nordrhein-Westfalen,17947221
12411,Fortschreibung des Bevölkerungsstandes,STAG,Stichtag,31.12.2019,DLAND,Bundesländer,07,Rheinland-Pfalz,4093903
12411,Fortschreibung des Bevölkerungsstandes,STAG,Stichtag,31.12.2019,DLAND,Bundesländer,10,Saarland,986887
12411,Fortschreibung des Bevölkerungsstandes,STAG,Stichtag,31.12.2019,DLAND,Bundesländer,14,Sachsen,4071971
12411,Fortschreibung des Bevölkerungsstandes,STAG,Stichtag,31.12.2019,DLAND,Bundesländer,15,Sachsen-Anhalt,2194782
12411,Fortschreibung des Bevölkerungsstandes,STAG,Stichtag,31.12.2019,DLAND,Bundesländer,01,Schleswig-Holstein,2903773
12411,Fortschreibung des Bevölkerungsstandes,STAG,Stichtag,31.12.2019,DLAND,Bundesländer,16,Thüringen,2133378
