,Baden-Württemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thüringen,Deutschland,Increase
2020-03-10,92,136,31,3,4,4,18,5,24,303,18,2,5,0,8,1,1296,
2020-03-11,190,207,90,11,21,17,28,11,52,384,25,6,17,6,14,10,1567,271
2020-03-12,332,317,137,23,35,60,59,16,81,688,52,8,30,14,29,12,1892,325
2020-03-13,401,412,174,44,42,99,94,21,134,887,102,30,46,29,45,16,2576,684
2020-03-14,506,605,216,57,50,119,141,23,187,1154,121,31,86,40,54,31,3421,845
2020-03-15,524,804,265,56,53,162,207,33,238,1407,168,32,91,40,79,36,4195,774
2020-03-16,1062,965,300,65,56,255,241,36,272,1541,325,32,103,40,104,36,5433,1238
2020-03-17,1479,1109,345,73,57,310,373,45,325,2105,442,75,182,58,127,51,7156,1723
2020-03-18,1609,1243,391,92,69,358,432,56,478,2372,474,88,198,105,159,74,8198,1042
2020-03-19,2155,1692,573,134,80,432,682,98,669,3033,637,99,275,140,202,98,10999,2801
