,Baden-Württemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thüringen,Deutschland,Increase
2020-02-24,,14,,,,,2,,,,,,,,,,16,
2020-02-25,1,14,,,,,2,,,1,,,,,,,18,2
2020-02-26,3,14,,,,,2,,,2,,,,,,,21,3
2020-02-27,6,14,,,,,2,,,4,,,,,,,26,5
2020-02-28,10,15,,,,,2,,,25,,,,,1,,53,27
2020-02-29,14,15,,,,,5,,,30,1,,,,1,,66,13
2020-03-1,15,19,,,1,1,10,,1,66,2,,,,2,,117,51
2020-03-2,19,25,1,,1,1,12,,1,86,2,,,,2,,150,33
2020-03-3,26,35,3,1,1,2,12,,1,101,2,,1,,2,1,188,38
2020-03-4,44,48,6,1,2,2,12,3,4,111,2,1,1,,2,1,240,52
2020-03-5,73,70,13,1,3,5,14,4,18,181,8,1,1,,7,1,400,160
2020-03-6,96,117,19,2,4,11,16,5,18,329,10,2,2,,7,1,639,239
2020-03-7,170,134,28,2,4,13,17,5,19,373,13,3,4,,8,2,795,156
2020-03-8,182,172,40,4,4,13,19,8,21,398,19,4,7,,9,2,902,107
2020-03-9,204,256,48,6,4,17,26,10,38,484,17,6,12,,9,2,1139,237
2020-03-10,237,314,48,9,4,29,35,13,49,484,25,7,22,7,9,4,1296,157
2020-03-11,277,366,90,24,21,48,48,17,75,484,25,14,26,15,27,10,1567,271
2020-03-12,454,500,137,30,38,88,99,23,129,688,52,14,45,27,31,14,2369,802
2020-03-13,454,558,174,44,42,99,148,33,230,936,102,40,83,42,48,29,3062,693
2020-03-14,569,681,216,61,50,158,203,45,253,1154,121,40,93,45,60,46,3795,733
2020-03-15,827,886,265,84,53,162,286,50,287,1407,168,32,130,47,103,51,4838,1043
2020-03-16,1105,1067,300,94,56,260,342,51,391,1541,325,85,140,77,123,55,6012,1174
